ID,GUID,createdtweet,DateLocal,idtweet,usertweet,TweetMsg,SearchParameter,retweeted,retweet_count,lang
1,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:23,2020-09-03 23:32:23,1301739863373352960,🐾 HumanimalKind Haven Ⓥ,RT @Weinsteinlaw: @ProjectLincoln “We can't be complacent or smug or sense that somehow it's so obvious that this president hasn't done a g…,JoeBiden,0,85,en
2,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:23,2020-09-03 23:32:23,1301739863096557568,NA Bale,RT @tedcruz: Pssst....Joe......you’re the one saying shut them all down!,JoeBiden,0,6161,en
3,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:23,2020-09-03 23:32:23,1301739862660468736,6% Alétheia,@JoeBiden This story has been already debunked...,JoeBiden,0,0,en
4,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:22,2020-09-03 23:32:22,1301739862282981376,Darrell Hopkins,"@GJNSLS @worxexell @HillaryClinton @JoeBiden @realDonaldTrump @BarackObama The economy, went into recession because… https://t.co/Usa9zE2Y3E",JoeBiden,0,0,en
5,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:22,2020-09-03 23:32:22,1301739862085849088,Mikey for BIDEN/HARRIS 2020 🌊🌊,"@MeghanMcCain If you think he is disgusting then your choice is to endorse and vote for @JoeBiden 

But you’ve waff… https://t.co/R9GVWnSNNC",JoeBiden,0,0,en
6,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:22,2020-09-03 23:32:22,1301739860596854789,ISAFWarWolf 🏳️‍🌈 🇺🇸 💯👀👨‍🍳🌌✌🕊,@chicombo02 @approject @JackPosobiec @JoeBiden @SenGaryPeters So you are saying that some trans are legitimate and… https://t.co/aSkJOKB7Yl,JoeBiden,0,0,en
7,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:22,2020-09-03 23:32:22,1301739859514667008,Nicholas Brooks,RT @ThePubliusUSA: You either will vote for @JoeBiden or support fascism. There is no middle ground.,JoeBiden,0,4160,en
8,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:22,2020-09-03 23:32:22,1301739858751299584,Flood,RT @kimKBaltimore: My favorite part about getting Trump’s endorsement is reading the comments claiming Trump only did it because I am black…,JoeBiden,0,29016,en
9,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:21,2020-09-03 23:32:21,1301739858067468288,Willy Dipstick Barr,RT @chipfranklin: Raise your hand if you agree with @JoeBiden that there should be on screen fact checks during the debates. 🙋‍♂️,JoeBiden,0,4575,en
10,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:21,2020-09-03 23:32:21,1301739856465338368,Dani Trump 2020,@Jenhatesantifa @charliebebus @JoeBiden I agree. I just am tired of the killing and I see where we're headed. 😪,JoeBiden,0,0,en
11,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:21,2020-09-03 23:32:21,1301739856335261696,My Opinion,@KamalaHarris @JoeBiden No it didn't stop making this Blake into some hero he's a criminal he sexualy assaulted a w… https://t.co/6mK4SZwqjx,JoeBiden,0,0,en
12,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:21,2020-09-03 23:32:21,1301739854406057984,PuppyMahomes,@Robloxianmeme1 @ChrisDJackson @realDonaldTrump @TheJusticeDept @FBI @JoeBiden While in Kenosha. He must have reall… https://t.co/gi0wGz5nkC,JoeBiden,0,0,en
